189,4.9,1995,,Norman René,Mia Farrow|Tony Goldwyn|Juana Barrios|Mike Heibeck|Vee Brown
190,7.1,1995,http://ia.media-imdb.com/images/M/MV5BNTYwOTk2NzQ5NF5BMl5BanBnXkFtZTcwOTQxMzYyMQ@@._V1._SX96_SY140_.jpg,Todd Haynes,Julianne Moore|Xander Berkeley|Dean Norris|Julie Burgess|Ronnie Farer
191,5.1,1995,http://ia.media-imdb.com/images/M/MV5BMTk4MTg0NzMxMV5BMl5BanBnXkFtZTcwMDc4ODUyMQ@@._V1._SX93_SY140_.jpg,Roland Joffé,Demi Moore|Gary Oldman|Robert Duvall|Lisa Andoh|Edward Hardwicke
193,4.5,1995,http://ia.media-imdb.com/images/M/MV5BNzcyMjExNjg3OF5BMl5BanBnXkFtZTgwOTY4Mjc1MDE@._V1._SX94_SY140_.jpg,Paul Verhoeven,Elizabeth Berkley|Kyle MacLachlan|Gina Gershon|Glenn Plummer|Robert Davi
194,7.5,1995,http://ia.media-imdb.com/images/M/MV5BMTgxNjQ4MTQ0OV5BMl5BanBnXkFtZTcwNTQ2OTcyMQ@@._V1._SX100_SY139_.jpg,Wayne Wang|Paul Auster,Giancarlo Esposito|José Zúñiga|Stephen Gevedon|Harvey Keitel|Jared Harris
195,5.6,1995,http://ia.media-imdb.com/images/M/MV5BMTIzOTczNTM1MF5BMl5BanBnXkFtZTcwMDM5MDMyMQ@@._V1._SX100_SY135_.jpg,Lasse Hallström,Julia Roberts|Dennis Quaid|Robert Duvall|Gena Rowlands|Kyra Sedgwick
196,5.8,1995,http://ia.media-imdb.com/images/M/MV5BMjMyNTE0ODUzOF5BMl5BanBnXkFtZTcwNjY5NTk1NA@@._V1._SX93_SY140_.jpg,Roger Donaldson,Ben Kingsley|Michael Madsen|Alfred Molina|Forest Whitaker|Marg Helgenberger
198,7.2,1995,http://ia.media-imdb.com/images/M/MV5BMTQxMzk0NTQ4Ml5BMl5BanBnXkFtZTgwNjY0MDQ1MDE@._V1._SX94_SY140_.jpg,Kathryn Bigelow,Ralph Fiennes|Angela Bassett|Juliette Lewis|Tom Sizemore|Michael Wincott
199,7.8,1964,http://ia.media-imdb.com/images/M/MV5BMjE5NzQ2NTQ5OF5BMl5BanBnXkFtZTgwMzYyNTM3MjE@._V1._SX100_SY140_.jpg,Jacques Demy,Catherine Deneuve|Nino Castelnuovo|Anne Vernon|Marc Michel|Ellen Farner
200,5.0,1995,http://ia.media-imdb.com/images/M/MV5BMTg1NDgxMzYyM15BMl5BanBnXkFtZTcwNzIyOTEyMQ@@._V1._SX98_SY140_.jpg,Wesley Strick,Daryl Hannah|Keith Carradine|Moira Kelly|Vincent Spano|Julia Devin
