337,7.8,1993,http://ia.media-imdb.com/images/M/MV5BMTQ5NjY1MjE5MV5BMl5BanBnXkFtZTgwODU2NTYxMTE@._V1._SX94_SY140_.jpg,Lasse Hallström,Johnny Depp|Leonardo DiCaprio|Juliette Lewis|Mary Steenburgen|Darlene Cates
338,5.5,1995,http://ia.media-imdb.com/images/M/MV5BMTIyNDkwNTc4MF5BMl5BanBnXkFtZTcwNTU2MDMyMQ@@._V1._SX98_SY140_.jpg,Brett Leonard,Denzel Washington|Kelly Lynch|Russell Crowe|Stephen Spinella|William Forsythe
339,6.6,1995,http://ia.media-imdb.com/images/M/MV5BMTU5NjU4NDUzMl5BMl5BanBnXkFtZTgwMjc4NDgzMTE@._V1._SX95_SY140_.jpg,Jon Turteltaub,Sandra Bullock|Bill Pullman|Peter Gallagher|Peter Boyle|Jack Warden
340,6.7,1994,http://ia.media-imdb.com/images/M/MV5BMTM1NTEyMjcxNF5BMl5BanBnXkFtZTcwNDUyODIyMQ@@._V1._SX99_SY140_.jpg,Jon Avnet,Elijah Wood|Kevin Costner|Mare Winningham|Lexi Randall|LaToya Chisholm
341,7.2,1994,http://ia.media-imdb.com/images/M/MV5BMjE2MjI3NjQzNV5BMl5BanBnXkFtZTcwNzMzOTE0MQ@@._V1._SX99_SY140_.jpg,Mina Shum,Sandra Oh|Stephen Chang|Alannah Ong|Donald Fong|Frances You
342,7.2,1994,http://ia.media-imdb.com/images/M/MV5BMTgyMzgwNDMwNV5BMl5BanBnXkFtZTcwNTAwMzAzMQ@@._V1._SX97_SY140_.jpg,P.J. Hogan,Sophie Lee|Roz Hammond|Toni Collette|Belinda Jarrett|Pippa Grandison
343,5.6,1995,http://ia.media-imdb.com/images/M/MV5BMTYwMjU1MzQ5MF5BMl5BanBnXkFtZTcwMDAwNDAwMQ@@._V1._SX96_SY140_.jpg,Melanie Mayron,Schuyler Fisk|Bre Blair|Rachael Leigh Cook|Larisa Oleynik|Tricia Joe
344,6.9,1994,http://ia.media-imdb.com/images/M/MV5BMjAzNTI0ODUxOF5BMl5BanBnXkFtZTgwNTQxNzQxMTE@._V1._SX95_SY140_.jpg,Tom Shadyac,Jim Carrey|Courteney Cox|Sean Young|Tone Loc|Dan Marino
345,7.5,1994,http://ia.media-imdb.com/images/M/MV5BMTc5MDU1NzcyN15BMl5BanBnXkFtZTcwMDA0ODYyNA@@._V1._SX93_SY140_.jpg,Stephan Elliott,Hugo Weaving|Guy Pearce|Terence Stamp|Rebel Penfold-Russell|John Casey
346,6.7,1994,http://ia.media-imdb.com/images/M/MV5BMTQxMzAxNjkxNl5BMl5BanBnXkFtZTcwODEzOTUyMQ@@._V1._SX98_SY140_.jpg,Iain Softley,Sheryl Lee|Stephen Dorff|Ian Hart|Gary Bakewell|Chris O'Neill
347,7.1,1992,http://ia.media-imdb.com/images/M/MV5BMTU0ODYyODkxNF5BMl5BanBnXkFtZTcwNTU1MTAwMQ@@._V1._SX98_SY140_.jpg,Roman Polanski,Peter Coyote|Emmanuelle Seigner|Hugh Grant|Kristin Scott Thomas|Victor Banerjee
348,7.5,1994,http://ia.media-imdb.com/images/M/MV5BMTI2MDU5NTgyM15BMl5BanBnXkFtZTYwMTEwNjc5._V1._SX98_SY140_.jpg,Woody Allen,John Cusack|Dianne Wiest|Jennifer Tilly|Chazz Palminteri|Mary-Louise Parker
349,6.9,1994,http://ia.media-imdb.com/images/M/MV5BMTUxOTk4NzUyOF5BMl5BanBnXkFtZTgwNzc3ODYxMTE@._V1._SX95_SY140_.jpg,Phillip Noyce,Harrison Ford|Willem Dafoe|Anne Archer|Joaquim de Almeida|Henry Czerny
350,6.7,1994,http://ia.media-imdb.com/images/M/MV5BMTI4NjM0NzQxOV5BMl5BanBnXkFtZTcwMTQ4MDEzMQ@@._V1._SX100_SY136_.jpg,Joel Schumacher,Susan Sarandon|Tommy Lee Jones|Mary-Louise Parker|Anthony LaPaglia|J.T. Walsh
351,6.5,1994,http://ia.media-imdb.com/images/M/MV5BMTI2MTM0MjE1Nl5BMl5BanBnXkFtZTcwOTcwMzEyMQ@@._V1._SX100_SY135_.jpg,Jessie Nelson,Noreen Hennessey|Lucy Deakins|Erica Yohn|Tina Majorino|Ray Liotta
352,6.9,1994,http://ia.media-imdb.com/images/M/MV5BMTIxMzI2OTYzM15BMl5BanBnXkFtZTYwOTM4Mjg5._V1._SX94_SY140_.jpg,Spike Lee,Alfre Woodard|Delroy Lindo|David Patrick Kelly|Zelda Harris|Carlton Williams
353,7.6,1994,http://ia.media-imdb.com/images/M/MV5BMTUxMzA1ODI3NF5BMl5BanBnXkFtZTgwNTg3NjQxMTE@._V1._SX95_SY140_.jpg,Alex Proyas,Brandon Lee|Rochelle Davis|Ernie Hudson|Michael Wincott|Bai Ling
354,6.4,1994,http://ia.media-imdb.com/images/M/MV5BNzk2MzU1Mjg2M15BMl5BanBnXkFtZTcwNDc4MzAwMQ@@._V1._SX100_SY135_.jpg,Ron Shelton,Tommy Lee Jones|Robert Wuhl|Lolita Davidovich|Ned Bellamy|Scott Burkholder
355,4.8,1994,http://ia.media-imdb.com/images/M/MV5BMTQ0MDY5MzQ2OF5BMl5BanBnXkFtZTYwOTc0MTg4._V1._SX78_SY140_.jpg,Brian Levant,John Goodman|Elizabeth Perkins|Rick Moranis|Rosie O'Donnell|Kyle MacLachlan
356,8.8,1994,http://ia.media-imdb.com/images/M/MV5BMTQwMTA5MzI1MF5BMl5BanBnXkFtZTcwMzY5Mzg3OA@@._V1._SX93_SY140_.jpg,Robert Zemeckis,Tom Hanks|Rebecca Williams|Sally Field|Michael Conner Humphreys|Harold G. Herthum
357,7.1,1994,http://ia.media-imdb.com/images/M/MV5BMTMyNzg2NzgxNV5BMl5BanBnXkFtZTcwMTcxNzczNA@@._V1._SX93_SY140_.jpg,Mike Newell,Hugh Grant|James Fleet|Simon Callow|John Hannah|Kristin Scott Thomas
358,6.4,1995,http://ia.media-imdb.com/images/M/MV5BMTI1NDEwMDg4Ml5BMl5BanBnXkFtZTcwMzY4MTgxMQ@@._V1._SX100_SY140_.jpg,John Singleton,Omar Epps|Kristy Swanson|Michael Rapaport|Jennifer Connelly|Ice Cube
360,5.2,1994,http://ia.media-imdb.com/images/M/MV5BMTI4MTIxODc0OF5BMl5BanBnXkFtZTcwMjY3OTEyMQ@@._V1._SX96_SY140_.jpg,Charles Shyer,Nick Nolte|Julia Roberts|Saul Rubinek|James Rebhorn|Robert Loggia
361,6.3,1994,http://ia.media-imdb.com/images/M/MV5BMTM4NzUyMjMwMF5BMl5BanBnXkFtZTYwODEwMzc5._V1._SX93_SY140_.jpg,Andrew Bergman,Nicolas Cage|Bridget Fonda|Rosie Perez|Wendell Pierce|Isaac Hayes
362,6.0,1994,http://ia.media-imdb.com/images/M/MV5BMTQ1MDQxNjcxNV5BMl5BanBnXkFtZTcwMTEwOTEzMQ@@._V1._SX99_SY140_.jpg,Stephen Sommers,Jason Scott Lee|Cary Elwes|Lena Headey|Sam Neill|John Cleese
363,8.1,1993,http://ia.media-imdb.com/images/M/MV5BNzQ0OTM1NjQ2M15BMl5BanBnXkFtZTYwMzkwNTE5._V1._SX100_SY135_.jpg,Ray Müller,Leni Riefenstahl|Marlene Dietrich|Walter Frentz|Joseph Goebbels|Rudolf Hess
364,8.5,1994,http://ia.media-imdb.com/images/M/MV5BMjEyMzgwNTUzMl5BMl5BanBnXkFtZTcwNTMxMzM3Ng@@._V1._SX100_SY129_.jpg,Roger Allers|Rob Minkoff,Jonathan Taylor Thomas|Matthew Broderick|James Earl Jones|Jeremy Irons|Moira Kelly
365,6.0,1993,http://ia.media-imdb.com/images/M/MV5BMTM1NzQ4MDY0NV5BMl5BanBnXkFtZTcwOTg4MTgyMQ@@._V1._SX96_SY140_.jpg,Bernardo Bertolucci,Keanu Reeves|Ruocheng Ying|Chris Isaak|Alex Wiesendanger|Raju Lal
366,6.4,1994,http://ia.media-imdb.com/images/M/MV5BMTcwODQyNzI0M15BMl5BanBnXkFtZTcwNzk1OTIyMQ@@._V1._SX100_SY136_.jpg,Wes Craven,Jeff Bryan Davis|Heather Langenkamp|Miko Hughes|Matt Winston|Rob LaBelle
367,6.8,1994,http://ia.media-imdb.com/images/M/MV5BMjM3NDI5OTA5Nl5BMl5BanBnXkFtZTgwNzE4ODYxMTE@._V1._SX94_SY140_.jpg,Chuck Russell,Jim Carrey|Peter Riegert|Peter Greene|Amy Yasbeck|Richard Jeni
368,7.0,1994,http://ia.media-imdb.com/images/M/MV5BMTE5OTQzMzU3Nl5BMl5BanBnXkFtZTcwNTA3MTMyMQ@@._V1._SX100_SY135_.jpg,Richard Donner,Mel Gibson|Jodie Foster|James Garner|Graham Greene|Alfred Molina
369,6.4,1994,http://ia.media-imdb.com/images/M/MV5BMTA1NzUxMzQ1MDheQTJeQWpwZ15BbWU3MDY3NzA0MzE@._V1._SX99_SY140_.jpg,Alan Rudolph,Jennifer Jason Leigh|Campbell Scott|Matthew Broderick|Peter Gallagher|Jennifer Beals
370,6.4,1994,http://ia.media-imdb.com/images/M/MV5BMTMzNzEwODQzN15BMl5BanBnXkFtZTcwNTgwMzcxMQ@@._V1._SX99_SY140_.jpg,Peter Segal,Leslie Nielsen|Priscilla Presley|George Kennedy|O.J. Simpson|Fred Ward
