1942,7.6,1949,http://ia.media-imdb.com/images/M/MV5BMTU0OTcyNDk0OV5BMl5BanBnXkFtZTcwMTY1Mjk3OA@@._V1._SX93_SY140_.jpg,Robert Rossen,Broderick Crawford|John Ireland|Joanne Dru|John Derek|Mercedes McCambridge
1943,6.7,1952,http://ia.media-imdb.com/images/M/MV5BMTgzMTA1MDM5NV5BMl5BanBnXkFtZTgwNjg5NDc2MjE@._V1._SX95_SY140_.jpg,Cecil B. DeMille,Betty Hutton|Cornel Wilde|Charlton Heston|Dorothy Lamour|Gloria Grahame
1944,7.8,1953,http://ia.media-imdb.com/images/M/MV5BMTI5MDk2ODc2M15BMl5BanBnXkFtZTYwNDQ2NDE5._V1._SX97_SY140_.jpg,Fred Zinnemann,Burt Lancaster|Montgomery Clift|Deborah Kerr|Donna Reed|Frank Sinatra
1945,8.3,1954,http://ia.media-imdb.com/images/M/MV5BMTcwMTU3MjI1OV5BMl5BanBnXkFtZTgwNjE2OTI3MjE@._V1._SX100_SY140_.jpg,Elia Kazan,Marlon Brando|Karl Malden|Lee J. Cobb|Rod Steiger|Pat Henning
1946,7.8,1955,http://ia.media-imdb.com/images/M/MV5BMTY4NDI3NDU0MV5BMl5BanBnXkFtZTgwNTk0MDgyMTE@._V1._SX95_SY140_.jpg,Delbert Mann,Esther Minciotti|Augusta Ciolli|Joe Mantell|Karen Steele|Jerry Paris
1947,7.6,1961,http://ia.media-imdb.com/images/M/MV5BMTM0NDAxOTI5MF5BMl5BanBnXkFtZTcwNjI4Mjg3NA@@._V1._SX93_SY140_.jpg,Jerome Robbins|Robert Wise,Natalie Wood|Richard Beymer|Russ Tamblyn|Rita Moreno|George Chakiris
1948,6.8,1963,http://ia.media-imdb.com/images/M/MV5BMTUxMzgwODM5N15BMl5BanBnXkFtZTcwNTExNDY3NA@@._V1._SX93_SY140_.jpg,Tony Richardson,George Devine|Rachel Kempson|Angela Baddeley|Joyce Redman|Jack MacGowran
1949,7.9,1966,http://ia.media-imdb.com/images/M/MV5BMTQ3MTM3NTI0OF5BMl5BanBnXkFtZTcwNTI1MjQ4OQ@@._V1._SX94_SY140_.jpg,Fred Zinnemann,Paul Scofield|Wendy Hiller|Leo McKern|Robert Shaw|Orson Welles
1950,8.0,1967,http://ia.media-imdb.com/images/M/MV5BMTk3NjkxMDc1MV5BMl5BanBnXkFtZTcwMDIwMjI0NA@@._V1._SX93_SY140_.jpg,Norman Jewison,Sidney Poitier|Rod Steiger|Warren Oates|Lee Grant|Larry Gates
1951,7.5,1968,http://ia.media-imdb.com/images/M/MV5BMTYzMDI2NjQ1Ml5BMl5BanBnXkFtZTcwNzg2ODgxMQ@@._V1._SX80_SY140_.jpg,Carol Reed,Ron Moody|Shani Wallis|Oliver Reed|Harry Secombe|Mark Lester
1952,7.9,1969,http://ia.media-imdb.com/images/M/MV5BMTMzMjY1OTE5OV5BMl5BanBnXkFtZTcwMjUzNTk3NA@@._V1._SX93_SY140_.jpg,John Schlesinger,Dustin Hoffman|Jon Voight|Sylvia Miles|John McGiver|Brenda Vaccaro
1953,7.8,1971,http://ia.media-imdb.com/images/M/MV5BMTY5Nzg5OTIzOF5BMl5BanBnXkFtZTcwMDI5NDA0MQ@@._V1._SX100_SY136_.jpg,William Friedkin,Gene Hackman|Fernando Rey|Roy Scheider|Tony Lo Bianco|Marcel Bozzuffi
