1,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
2,"When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game."
3,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention."
4,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender."
5,"In this sequel, George Banks deals not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife."
6,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
7,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
8,"A mischievous young boy, Tom Sawyer (),witnesses a murder by the deadly Injun Joe. Tom..."
9,A disgraced former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.
10,James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent believed to be dead.
11,"Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but ""politics is perception"" and sparks fly anyway."
12,Mel Brooks' parody of the classic vampire story and its famous film adaptations.
13,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska."
14,"A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame."
15,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.
16,"Greed, deception, money, power, and murder occur between two mobster best friends and a trophy wife over a gambling empire."
17,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites."
18,Four interlocking tales that take place in a fading hotel on New Year's Eve.
19,"Pet detective Ace Ventura comes out of retirement to investigate the disappearance of a rare white bat, the symbol of an African tribe."
20,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him."
21,A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job.
22,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
23,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.
24,A young bald albino boy with unique powers shakes up the rural community he lives in.
25,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
26,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.
27,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.
28,"Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded..."
29,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process."
30,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.
31,An ex-Marine turned teacher struggles to connect with her students in an inner city school.
32,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
33,"While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot."
34,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett."
35,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century.
36,
37,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close..."
38,"Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers..."
39,"A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way."
40,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.
41,The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting.
42,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed."
43,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of a spaniel dear to the King..."
44,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.
45,"Suzanne Stone is an aspiring TV personality who will do anything to be in the spotlight, including enlisting three teenagers to kill her husband."
46,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.
47,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi."
48,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.
50,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup."
52,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a prostitute."
53,Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants...
54,Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions...
55,Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister...
57,"After losing her job, making out with her soon-to-be former boss and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family."
58,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.
59,"The year is 1952, in Quebec City. Rachel, 16, unmarried, and pregnant, works in the church. Filled with shame..."
60,On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an...
61,Karen McCann's eldest daughter is raped and murdered whilst on the phone with her. When the case against Robert Doob...
62,A frustrated composer finds fulfillment as a high school music teacher.
63,"""Don't Be a Menace to South Central While Drinking your Juice in the Hood"" is a parody of a lot of black U.S..."
64,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job..."
65,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year."
66,Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would...
67,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa..."
68,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again."
69,"Two homies, Smokey &Craig, smoke up a dope dealer's weed and try to figure a way to get the $200 they owe the dope dealer by 10:00pm that night. In that time they smoke weed, get jacked, and they get shot at in a drive-by."
70,"Two criminals and their hostages unknowingly seek temporary refuge in an establishment populated by vampires, with chaotic results."
71,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her."
72,"Following graduation, a handful of college students do nothing and talk about it wittily."
73,Henri Fortin is poor and iliterate former boxer. Ziman is rich Jewish lawyer from Paris. During WWII...
74,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love..."
76,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding..."
77,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels..."
78,Freddie Gale is a seedy jeweler who has sworn to kill the drunk driver who killed his little girl.
79,"When Annie Laird is selected as a juror in a big Mafia trial, she is forced by someone known as ""The..."
80,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.
81,Five different criminals face imminent death after botching a job quite badly.
82,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive."
83,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.
84,"Filmed entirely on location in East Hampton, Long Island, ""Last Summer in the Hamptons"" concerns a large..."
85,In the 1800s a naturalist marries into a family of British aristocrats.
86,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.
87,Young boy befriends larcenous orangutan in luxury hotel.
88,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.
89,"An unimpressive, every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter."
92,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde."
93,"Maximillian is the only survivor from a race of vampires on a Caribbean Island, and as a vampire, he must find a mate to keep the line from ending..."
94,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.
95,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.
96,Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet...
97,"After local youth Abdel is beaten unconscious by police, a riot ensues on his estate during which a policeman loses his gun. The gun is found by Vinz who threatens he will kill a cop if Abdel dies."
98,"Lone group of teens, led by recently released joyrider and his disenchanted Belfast girlfriend, strives..."
99,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her..."
100,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences."
101,Focusing on a trio of friends and their elaborate plan to pull off a simple robbery and go on the run.
102,"A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll/Hyde true nature."
103,"Unsuccessfully framed for his wife's murder, Dr. David Krane attempts to find the real culprit by utilizing..."
104,A rejected hockey player puts his skills to the golf course to save his grandmother's house.
105,"Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson, for four days in the 1960s."
106,"On the brink of her 30th birthday, Fanny feels the door to marital happiness closing up on her. She is obsessed with death..."
107,The Muppets' twist on the classic tale.
110,"When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt and leads Scottish warriors against the cruel English tyrant who rules Scotland with an iron fist."
111,"A mentally unstable Vietnam war veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process."
112,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.
113,Two parents deal with the effects when their son is accused of murdering his girlfriend.
114,"In a town where half the men die down the coalpit, Margaret MacNeil is quite happy being single. Until she meets Neil Currie..."
116,"Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning..."
117,
118,"Joe and Lucy are roommates and best friends. Lucy, whose love life is embarrassingly dull, convinces Joe..."
119,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara..."
